,0,1
0,palestinian,0.93065983
1,israel,0.93736535
2,gaza,0.94296396
3,israeli,0.9486488
4,people,0.9599252
5,day,0.9605847
6,one,0.9635692
7,hamas,0.9663846
8,according,0.9667547
9,attack,0.969402
10,year,0.9700752
11,since,0.9702053
12,right,0.97161394
13,said,0.9719688
14,military,0.9722136
15,would,0.9722884
16,war,0.9723044
17,west,0.9726258
18,official,0.97344184
19,time,0.97400165
20,arab,0.9744192
21,told,0.9754457
22,force,0.9757288
23,strip,0.9759967
24,group,0.97627383
25,october,0.97686356
26,least,0.97814935
27,palestine,0.97885084
28,also,0.97891665
29,end,0.97929907
